Reading Profile files in profile.*

NODE 0;CONTEXT 0;THREAD 0:
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.829            1           1         374       1512 main 
 45.2        0.683        0.683         374           0          2 std::ceil(float) 
  3.0        0.042        0.045           1           1         45 global constructors keyed to num_primes 
  0.2        0.003        0.003           1           0          3 __static_initialization_and_destruction_0(int, int) 

NODE 0;CONTEXT 0;THREAD 1:
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
  0.9        0.257        0.803          15          45         54 std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Rb_tree(std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> > const&) 
  0.8        0.222         0.74          20          80         37 void** std::__copy_move_a2<false, void**, void**>(void**, void**, void**) 
  0.8        0.178        0.727          15          60         48 int* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*) 
  0.8        0.137        0.722          15          45         48 std::vector<void*, std::allocator<void*> >::~vector() 
  0.8        0.171        0.715          15          60         48 void** std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<void* const*, std::vector<void*, std::allocator<void*> > >, void**>(__gnu_cxx::__normal_iterator<void* const*, std::vector<void*, std::allocator<void*> > >, __gnu_cxx::__normal_iterator<void* const*, std::vector<void*, std::allocator<void*> > >, void**) 
  0.8        0.134         0.71          15          45         47 std::vector<int, std::allocator<int> >::~vector() 
  0.7        0.098         0.68           5          15        136 _data_access_log::_data_access_log() 
  0.7         0.11        0.679          15          15         45 std::set<int, std::less<int>, std::allocator<int> >::~set() 
  0.7        0.022        0.659           5           5        132 std::pair<void*, _data_access_log>::~pair() 
  0.7        0.115        0.657           5          27        131 std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_M_insert_(std::_Rb_tree_node_base const*, std::_Rb_tree_node_base const*, void* const&) 
  0.7        0.244        0.613          10          70         61 std::vector<int, std::allocator<int> >::_M_check_len(unsigned int, char const*) const 
  0.6        0.263        0.569          15          45         38 std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::~_Rb_tree() 
  0.6        0.134        0.519           5          47        104 std::_Rb_tree<void*, std::pair<void* const, _data_access_log>, std::_Select1st<std::pair<void* const, _data_access_log> >, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<void* const, _data_access_log> >*, std::_Rb_tree_node<std::pair<void* const, _data_access_log> >*, void* const&) 
  0.6        0.179         0.51          10          70         51 std::vector<void*, std::allocator<void*> >::_M_check_len(unsigned int, char const*) const 
  0.5        0.125        0.502          15          30         33 std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned int, std::allocator<int> const&) 
  0.5        0.326        0.488          75          75          7 std::_Niter_base<int*>::iterator_type std::__niter_base<int*>(int*) 
  0.5        0.328        0.486          75          75          6 std::_Niter_base<void**>::iterator_type std::__niter_base<void**>(void**) 
  0.5         0.34         0.47          28          56         17 std::_Rb_tree<void*, std::pair<void* const, _data_access_log>, std::_Select1st<std::pair<void* const, _data_access_log> >, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::_S_key(std::_Rb_tree_node<std::pair<void* const, _data_access_log> > const*) 
  0.5        0.322        0.468          31          62         15 std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_S_key(std::_Rb_tree_node<std::pair<unsigned long const, int> > const*) 
