Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.01     0.00     1972     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<void* const*, std::vector<void*, std::allocator<void*> > >, true>::_S_base(__gnu_cxx::__normal_iterator<void* const*, std::vector<void*, std::allocator<void*> > >)
  0.00      0.01     0.00     1972     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.01     0.00     1962     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<void* const*, std::vector<void*, std::allocator<void*> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<void* const*, std::vector<void*, std::allocator<void*> > > >(__gnu_cxx::__normal_iterator<void* const*, std::vector<void*, std::allocator<void*> > >)
  0.00      0.01     0.00     1955     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.01     0.00     1953     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, false>::_S_base(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.01     0.00     1946     0.00     0.00  __gnu_cxx::__normal_iterator<void* const*, std::vector<void*, std::allocator<void*> > >::base() const
  0.00      0.01     0.00     1904     0.00     0.00  __gnu_cxx::new_allocator<void*>::allocate(unsigned int, void const*)
  0.00      0.01     0.00     1902     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned int)
  0.00      0.01     0.00     1900     0.00     0.00  __gnu_cxx::new_allocator<void*>::deallocate(void**, unsigned int)
  0.00      0.01     0.00     1898     0.00     0.00  std::_Vector_base<void*, std::allocator<void*> >::_M_allocate(unsigned int)
  0.00      0.01     0.00     1878     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned int)
  0.00      0.01     0.00     1877     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned int, void const*)
  0.00      0.01     0.00     1827     0.00     0.00  unsigned int const& std::max<unsigned int>(unsigned int const&, unsigned int const&)
  0.00      0.01     0.00     1812     0.00     0.00  __gnu_cxx::__normal_iterator<void**, std::vector<void*, std::allocator<void*> > >::__normal_iterator(void** const&)
  0.00      0.01     0.00     1812     0.00     0.00  std::vector<void*, std::allocator<void*> >::max_size() const
  0.00      0.01     0.00     1812     0.00     0.00  void** std::__uninitialized_copy<true>::uninitialized_copy<void**, void**>(void**, void**, void**)
  0.00      0.01     0.00     1812     0.00     0.00  void** std::__copy_move_a<false, void**, void**>(void**, void**, void**)
  0.00      0.01     0.00     1812     0.00     0.00  void** std::__copy_move_a2<false, void**, void**>(void**, void**, void**)
  0.00      0.01     0.00     1812     0.00     0.00  void** std::__uninitialized_move_a<void**, void**, std::allocator<void*> >(void**, void**, void**, std::allocator<void*>&)
  0.00      0.01     0.00     1811     0.00     0.00  void** std::__uninitialized_copy_a<void**, void**, void*>(void**, void**, void**, std::allocator<void*>&)
  0.00      0.01     0.00     1811     0.00     0.00  void** std::copy<void**, void**>(void**, void**, void**)
  0.00      0.01     0.00     1810     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
