Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        2     0.00     0.00  void** std::__copy_move_a2<false, void**, void**>(void**, void**, void**)
  0.00      0.00     0.00        2     0.00     0.00  void* (**std::uninitialized_copy<void* (**)(void*), void* (**)(void*)>(void* (**)(void*), void* (**)(void*), void* (**)(void*)))(void*)
  0.00      0.00     0.00        2     0.00     0.00  void** std::uninitialized_copy<void**, void**>(void**, void**, void**)
  0.00      0.00     0.00        2     0.00     0.00  void* (**std::__uninitialized_copy_a<void* (**)(void*), void* (**)(void*), void* (*)(void*)>(void* (**)(void*), void* (**)(void*), void* (**)(void*), std::allocator<void* (*)(void*)>&))(void*)
  0.00      0.00     0.00        2     0.00     0.00  void** std::__uninitialized_copy_a<void**, void**, void*>(void**, void**, void**, std::allocator<void*>&)
  0.00      0.00     0.00        2     0.00     0.00  void* (**std::__uninitialized_move_a<void* (**)(void*), void* (**)(void*), std::allocator<void* (*)(void*)> >(void* (**)(void*), void* (**)(void*), void* (**)(void*), std::allocator<void* (*)(void*)>&))(void*)
  0.00      0.00     0.00        2     0.00     0.00  void** std::__uninitialized_move_a<void**, void**, std::allocator<void*> >(void**, void**, void**, std::allocator<void*>&)
  0.00      0.00     0.00        2     0.00     0.00  unsigned int const& std::max<unsigned int>(unsigned int const&, unsigned int const&)
  0.00      0.00     0.00        2     0.00     0.00  void* (**std::copy<void* (**)(void*), void* (**)(void*)>(void* (**)(void*), void* (**)(void*), void* (**)(void*)))(void*)
  0.00      0.00     0.00        2     0.00     0.00  void** std::copy<void**, void**>(void**, void**, void**)
  0.00      0.00     0.00        2     0.00     0.00  void std::_Destroy<_loop_spec_thread*>(_loop_spec_thread*, _loop_spec_thread*)
  0.00      0.00     0.00        2     0.00     0.00  void std::_Destroy<_loop_spec_thread*, _loop_spec_thread>(_loop_spec_thread*, _loop_spec_thread*, std::allocator<_loop_spec_thread>&)
  0.00      0.00     0.00        1     0.00     0.00  global constructors keyed to my_difftime(timeval*, timeval*)
