Reading Profile files in profile.*

NODE 0;CONTEXT 0;THREAD 0:
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
  0.4        0.875            4         216         216         22 std::set<void*, std::less<void*>, std::allocator<void*> >::set() 
  0.3         0.95            4         103         309         43 std::vector<void*, std::allocator<void*> >::~vector() 
  0.3        0.882            4         104         312         42 std::vector<int, std::allocator<int> >::~vector() 
  0.3            4            4        2295           0          2 std::_Select1st<std::pair<unsigned long const, int> >::operator()(std::pair<unsigned long const, int> const&) const 
  0.3            2            3         690         690          6 std::allocator<std::_Rb_tree_node<void*> >::~allocator() 
  0.3        0.874            3         216         216         18 std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_Rb_tree() 
  0.3            2            3         670         670          6 std::allocator<std::_Rb_tree_node<void*> >::allocator(std::allocator<std::_Rb_tree_node<void*> > const&) 
  0.2            1            2         216         432         14 std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_Rb_tree_impl<std::less<void*>, false>::_Rb_tree_impl() 
  0.2            2            2        1382           0          2 std::less<unsigned long>::operator()(unsigned long const&, unsigned long const&) const 
  0.2        0.372            2         100         100         24 std::set<int, std::less<int>, std::allocator<int> >::~set() 
  0.2            2            2        1268           0          2 std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_S_value(std::_Rb_tree_node<std::pair<unsigned long const, int> > const*) 
  0.2        0.626            2         103         206         23 std::_Vector_base<void*, std::allocator<void*> >::~_Vector_base() 
  0.2         0.66            2         104         208         22 std::_Vector_base<int, std::allocator<int> >::~_Vector_base() 
  0.2            2            2        1190           0          2 std::vector<_loop_spec_thread, std::allocator<_loop_spec_thread> >::operator[](unsigned int) 
  0.2        0.883            2         100         300         22 void std::fill<_loop_spec_thread*, _loop_spec_thread>(_loop_spec_thread*, _loop_spec_thread*, _loop_spec_thread const&) 
  0.2            2            2         994           0          2 std::vector<_loop_spec_thread, std::allocator<_loop_spec_thread> >::size() const 
  0.2        0.749            2         100         300         20 std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::~_Rb_tree() 
  0.1            1            1         335         335          6 std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::end() 
  0.1        0.792            1         118         236         15 std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::get_allocator() const 
  0.1        0.727            1         114         228         15 std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::get_allocator() const 
  0.1        0.109            1           2           3        824 std::vector<void*, std::allocator<void*> >::push_back(void* const&) 
  0.1            1            1         886           0          2 std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_Rb_tree_impl<std::less<void*>, false>::_M_initialize() 
  0.1        0.087            1           2           3        788 std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> >::push_back(void* (* const&)(void*)) 
  0.1        0.427            1           1          14       1486 std::vector<void*, std::allocator<void*> >::_M_insert_aux(__gnu_cxx::__normal_iterator<void**, std::vector<void*, std::allocator<void*> > >, void* const&) 
  0.1            1            1         794           0          2 std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_S_left(std::_Rb_tree_node_base*) 
  0.1            1            1         784           0          2 std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_M_get_Node_allocator() const 
  0.1        0.396            1           1          14       1432 std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> >::_M_insert_aux(__gnu_cxx::__normal_iterator<void* (**)(void*), std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> > >, void* (* const&)(void*)) 
  0.1            1            1         764           0          2 std::_Rb_tree_iterator<std::pair<unsigned long const, int> >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<unsigned long const, int> >*) 
  0.1        0.344            1           2          14        693 std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) 
  0.1        0.917            1         217         217          6 std::allocator<void*>::~allocator() 
  0.1        0.548            1         100         200         13 std::_Rb_tree<void*, std::pair<void* const, _data_access_log>, std::_Select1st<std::pair<void* const, _data_access_log> >, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::get_allocator() const 
  0.1        0.574            1         119         119         11 std::map<unsigned long, int, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::end() 
  0.1            1            1         670           0          2 std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_M_root() const 
  0.1            1            1         690           0          2 __gnu_cxx::new_allocator<std::_Rb_tree_node<void*> >::~new_allocator() 
  0.1        0.855            1         216         216          6 std::allocator<std::_Rb_tree_node<void*> >::allocator() 
  0.1            1            1         690           0          2 std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_M_begin() 
  0.1            1            1         670           0          2 __gnu_cxx::new_allocator<std::_Rb_tree_node<void*> >::new_allocator(__gnu_cxx::new_allocator<std::_Rb_tree_node<void*> > const&) 
  0.1        0.497            1         108         108         11 std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_M_get_node() 
  0.1        0.833            1         208         208          6 std::vector<_loop_spec_thread, std::allocator<_loop_spec_thread> >::end() 
  0.1        0.785            1         200         200          6 std::_Niter_base<_loop_spec_thread*>::iterator_type std::__niter_base<_loop_spec_thread*>(_loop_spec_thread*) 
  0.1        0.216            1           2          14        566 std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> >::vector(std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> > const&) 
  0.1         0.47            1         105         105         11 void std::_Destroy<void**, void*>(void**, void**, std::allocator<void*>&) 
  0.1         0.22            1           2          14        552 std::vector<void*, std::allocator<void*> >::vector(std::vector<void*, std::allocator<void*> > const&) 
  0.1        0.653            1         114         228          9 std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_S_key(std::_Rb_tree_node_base const*) 
  0.1        0.659            1         108         216         10 __gnu_cxx::__normal_iterator<_loop_spec_thread*, std::vector<_loop_spec_thread, std::allocator<_loop_spec_thread> > >::difference_type __gnu_cxx::operator-<_loop_spec_thread*, std::vector<_loop_spec_thread, std::allocator<_loop_spec_thread> > >(__gnu_cxx::__normal_iterator<_loop_spec_thread*, std::vector<_loop_spec_thread, std::allocator<_loop_spec_thread> > > const&, __gnu_cxx::__normal_iterator<_loop_spec_thread*, std::vector<_loop_spec_thread, std::allocator<_loop_spec_thread> > > const&) 
  0.1        0.429            1         104         104         10 std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl() 
  0.1        0.452            1         104         104         10 void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&) 
  0.1        0.435            1         103         103         10 std::_Vector_base<void*, std::allocator<void*> >::_Vector_impl::~_Vector_impl() 
  0.1        0.042         0.99           1           1        990 std::map<unsigned long, int, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::clear() 
  0.1        0.191        0.948           1           7        948 std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::clear() 
  0.1        0.369        0.927         100         100          9 std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Rb_tree_impl<std::less<int>, false>::~_Rb_tree_impl() 
  0.1        0.901        0.901         494           0          2 std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_S_right(std::_Rb_tree_node_base*) 
  0.1        0.043        0.836           1           1        836 global constructors keyed to b 
  0.1         0.56        0.808         110         110          7 std::map<unsigned long, int, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::empty() const 
  0.1        0.796        0.796         432           0          2 __gnu_cxx::__normal_iterator<_loop_spec_thread*, std::vector<_loop_spec_thread, std::allocator<_loop_spec_thread> > >::base() const 
  0.1        0.045        0.793           1           1        793 __static_initialization_and_destruction_0(int, int) 
  0.1        0.514        0.763         107         107          7 std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_M_put_node(std::_Rb_tree_node<void*>*) 
  0.1        0.496         0.75         114         114          7 std::allocator<void*>::allocator<std::_Rb_tree_node<void*> >(std::allocator<std::_Rb_tree_node<void*> > const&) 
  0.1        0.138        0.748           1           3        748 loop_speculator::loop_speculator() 
  0.1        0.142        0.745          11          40         68 std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_M_erase(std::_Rb_tree_node<std::pair<unsigned long const, int> >*) 
  0.1         0.05        0.741           2           2        370 int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, std::allocator<int>&) 
  0.1        0.514        0.729         118         118          6 std::allocator<std::pair<unsigned long const, int> >::allocator<std::_Rb_tree_node<std::pair<unsigned long const, int> > >(std::allocator<std::_Rb_tree_node<std::pair<unsigned long const, int> > > const&) 
  0.1        0.501        0.723         118         118          6 std::allocator<std::pair<unsigned long const, int> >::~allocator() 
  0.1        0.518        0.718         108         108          7 __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<unsigned long const, int> > >::allocate(unsigned int, void const*) 
  0.1        0.053        0.691           2           2        346 int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*) 
  0.0        0.651        0.651         354           0          2 operator new(unsigned int, void*) 
  0.0         0.65         0.65         233           0          3 std::_Vector_base<_loop_spec_thread, std::allocator<_loop_spec_thread> >::_M_get_Tp_allocator() 
  0.0        0.449         0.65         104         103          6 std::_Vector_base<void*, std::allocator<void*> >::_M_deallocate(void**, unsigned int) 
  0.0        0.445         0.64         105         105          6 void std::_Destroy<void**>(void**, void**) 
  0.0        0.057        0.638           2           2        319 int* std::__uninitialized_copy<true>::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*) 
  0.0        0.636        0.636         326           0          2 std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_M_end() 
  0.0        0.435        0.635         108         108          6 __gnu_cxx::new_allocator<std::pair<unsigned long const, int> >::construct(std::pair<unsigned long const, int>*, std::pair<unsigned long const, int> const&) 
